[00:54:28]: Comrade91 joined from the IP 24.154.121.93.
[00:58:19]: ya_boi_ehoff joined from the IP 67.20.255.79.
[10:19:23]: TARDIS_360 joined from the IP 73.154.210.58.
[14:03:07]: Borps joined from the IP 98.111.253.154.
[17:20:42]: Lhendy51 joined from the IP 73.154.195.184.
[19:03:36]: BenDoesMusic joined from the IP 98.111.229.85.
[19:14:25]: BenDoesMusic joined from the IP 98.111.229.85.
[20:22:42]: BenjaboyQ joined from the IP 96.236.218.9.
[20:49:17]: Lhendy51 joined from the IP 73.154.195.184.
[21:07:28]: BenjaboyQ joined from the IP 96.236.218.9.
[21:15:04]: BenjaboyQ joined from the IP 96.236.218.9.
[21:24:58]: BenDoesMusic joined from the IP 98.111.229.85.
[22:11:04]: BenjaboyQ joined from the IP 96.236.218.9.
[22:12:02]: Xestra joined from the IP 74.111.112.184.
[22:22:33]: BenDoesMusic joined from the IP 98.111.229.85.
[22:32:15]: BenjaboyQ joined from the IP 96.236.218.9.
[22:44:28]: captainasia_ joined from the IP 24.154.114.227.
[22:55:30]: BenDoesMusic joined from the IP 98.111.229.85.
[23:25:16]: BenDoesMusic joined from the IP 98.111.229.85.
