[07:40:24]: CreeperMKB picked up the item IRON_DOOR.
[07:45:12]: CreeperMKB picked up the item SAND.
[07:45:13]: CreeperMKB picked up the item SAND.
[07:45:14]: CreeperMKB picked up the item SAND.
[07:45:14]: CreeperMKB picked up the item SAND.
[07:45:14]: CreeperMKB picked up the item SAND.
[07:45:15]: CreeperMKB picked up the item SAND.
[07:45:15]: CreeperMKB picked up the item SAND.
[07:45:15]: CreeperMKB picked up the item SAND.
[07:45:17]: CreeperMKB picked up the item SAND.
[07:45:17]: CreeperMKB picked up the item SAND.
[07:45:17]: CreeperMKB picked up the item SAND.
[07:45:18]: CreeperMKB picked up the item SAND.
[07:45:18]: CreeperMKB picked up the item SAND.
[07:45:19]: CreeperMKB picked up the item SAND.
[07:45:20]: CreeperMKB picked up the item SAND.
[07:45:20]: CreeperMKB picked up the item SAND.
[07:45:20]: CreeperMKB picked up the item SAND.
[07:45:21]: CreeperMKB picked up the item SAND.
[07:45:21]: CreeperMKB picked up the item SAND.
[07:45:22]: CreeperMKB picked up the item SAND.
[07:45:23]: CreeperMKB picked up the item STICK.
[07:45:23]: CreeperMKB picked up the item SAND.
[07:45:24]: CreeperMKB picked up the item SAND.
[07:45:24]: CreeperMKB picked up the item SAND.
[07:45:25]: CreeperMKB picked up the item SAND.
[07:45:25]: CreeperMKB picked up the item SAND.
[07:45:26]: CreeperMKB picked up the item SAND.
[07:45:27]: CreeperMKB picked up the item SAND.
[07:45:27]: CreeperMKB picked up the item SAND.
[07:45:28]: CreeperMKB picked up the item SAND.
[07:45:29]: CreeperMKB picked up the item SAND.
[07:45:29]: CreeperMKB picked up the item SAND.
[07:45:30]: CreeperMKB picked up the item SAND.
[07:45:30]: CreeperMKB picked up the item SAND.
[07:45:31]: CreeperMKB picked up the item SAND.
[07:45:31]: CreeperMKB picked up the item SAND.
[07:45:32]: CreeperMKB picked up the item SAND.
[07:45:32]: CreeperMKB picked up the item SAND.
[07:45:33]: CreeperMKB picked up the item SAND.
