[01:10:12]: Comrade91 joined from the IP 24.154.121.93.
[12:18:24]: Xestra joined from the IP 74.111.112.184.
[14:30:55]: TARDIS_360 joined from the IP 73.154.210.58.
[14:36:17]: TARDIS_360 joined from the IP 73.154.210.58.
[14:44:10]: TARDIS_360 joined from the IP 73.154.210.58.
[15:02:33]: TARDIS_360 joined from the IP 73.154.210.58.
[15:02:59]: TARDIS_360 joined from the IP 73.154.210.58.
[15:04:21]: TARDIS_360 joined from the IP 73.154.210.58.
[15:05:34]: TARDIS_360 joined from the IP 73.154.210.58.
[15:06:59]: TARDIS_360 joined from the IP 73.154.210.58.
[15:08:25]: TARDIS_360 joined from the IP 73.154.210.58.
[15:15:36]: Borps joined from the IP 98.111.253.154.
