[00:03:46]: captainasia_ dropped the item SCAFFOLDING.
[00:06:46]: Lhendy51 dropped the item WITHER_SKELETON_SKULL.
[00:15:50]: Austin_Powers_ dropped the item REDSTONE.
[00:15:51]: Austin_Powers_ dropped the item SHIELD.
[00:15:59]: Austin_Powers_ dropped the item DIAMOND_BOOTS.
[00:16:00]: Austin_Powers_ dropped the item DIAMOND_LEGGINGS.
[00:16:00]: Austin_Powers_ dropped the item DIAMOND_HELMET.
[00:16:19]: Lhendy51 dropped the item all of garden (DIAMOND_SWORD).
[00:16:21]: Lhendy51 dropped the item Cum Wings (ELYTRA).
[00:19:22]: captainasia_ dropped the item rather be fishing (IRON_SWORD).
[00:29:47]: Lhendy51 dropped the item WRITTEN_BOOK.
[00:30:08]: Lhendy51 dropped the item BLAZE_ROD.
[00:30:28]: Lhendy51 dropped the item STONE_SWORD.
[00:34:11]: Austin_Powers_ dropped the item ROTTEN_FLESH.
[00:34:21]: Lhendy51 dropped the item END_STONE_BRICKS.
[00:34:25]: Lhendy51 dropped the item WITHER_SKELETON_SKULL.
[00:34:27]: Lhendy51 dropped the item Puddle Stompahs (DIAMOND_BOOTS).
[00:35:38]: Lhendy51 dropped the item MAGMA_BLOCK.
[00:35:38]: Lhendy51 dropped the item BOW.
[00:35:39]: Lhendy51 dropped the item STONE_SWORD.
[00:35:45]: Austin_Powers_ dropped the item IRON_HELMET.
[00:35:46]: Austin_Powers_ dropped the item IRON_CHESTPLATE.
[00:35:47]: Austin_Powers_ dropped the item GOLD_NUGGET.
[00:35:48]: Austin_Powers_ dropped the item IRON_SHOVEL.
[00:35:51]: Austin_Powers_ dropped the item BONE.
[00:35:53]: Austin_Powers_ dropped the item LAPIS_LAZULI.
[00:36:13]: Austin_Powers_ dropped the item IRON_BOOTS.
[00:36:13]: Austin_Powers_ dropped the item IRON_LEGGINGS.
[00:36:15]: Lhendy51 dropped the item FIREWORK_ROCKET.
[00:36:15]: Lhendy51 dropped the item FIREWORK_ROCKET.
[00:36:15]: Lhendy51 dropped the item FIREWORK_ROCKET.
[00:36:15]: Lhendy51 dropped the item FIREWORK_ROCKET.
[00:36:15]: Lhendy51 dropped the item FIREWORK_ROCKET.
[00:36:16]: Lhendy51 dropped the item FIREWORK_ROCKET.
[00:36:16]: Lhendy51 dropped the item FIREWORK_ROCKET.
[00:36:16]: Lhendy51 dropped the item FIREWORK_ROCKET.
[00:36:16]: Lhendy51 dropped the item FIREWORK_ROCKET.
[00:36:16]: Lhendy51 dropped the item FIREWORK_ROCKET.
[00:36:16]: Lhendy51 dropped the item FIREWORK_ROCKET.
[00:36:16]: Lhendy51 dropped the item FIREWORK_ROCKET.
[00:40:48]: Lhendy51 dropped the item STONE_SWORD.
[00:41:15]: captainasia_ dropped the item DIRT.
[00:46:29]: Lhendy51 dropped the item BOW.
[00:47:32]: Lhendy51 dropped the item NETHER_BRICKS.
[00:47:33]: Lhendy51 dropped the item MONKEE OO OOO II (DIAMOND_PICKAXE).
[00:47:34]: Lhendy51 dropped the item Divine Intervention (DIAMOND_SWORD).
[00:47:35]: Lhendy51 dropped the item Cummies (BOW).
[00:47:35]: Lhendy51 dropped the item Groovy Boobies (DIAMOND_CHESTPLATE).
[00:47:56]: captainasia_ dropped the item NETHERRACK.
[00:48:09]: Lhendy51 dropped the item STONE_SWORD.
[00:48:41]: Lhendy51 dropped the item ROTTEN_FLESH.
